"filename", "language", "C#", "Markdown", "CSV", "JSON", "comment", "blank", "total"
"d:\Unity\LoFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-51-57\details.md", "Markdown", 0, 85, 0, 0, 0, 6, 91
"d:\Unity\LoFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-51-57\diff-details.md", "Markdown", 0, 9, 0, 0, 0, 6, 15
"d:\Unity\LoFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-51-57\diff.csv", "CSV", 0, 0, 2, 0, 0, 0, 2
"d:\Unity\LoFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-51-57\diff.md", "Markdown", 0, 12, 0, 0, 0, 7, 19
"d:\Unity\LoFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-51-57\results.csv", "CSV", 0, 0, 78, 0, 0, 0, 78
"d:\Unity\LoFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-51-57\results.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"d:\Unity\LoFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-51-57\results.md", "Markdown", 0, 14, 0, 0, 0, 7, 21
"d:\Unity\LoFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-52-37\details.md", "Markdown", 0, 85, 0, 0, 0, 6, 91
"d:\Unity\LoFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-52-37\diff-details.md", "Markdown", 0, 9, 0, 0, 0, 6, 15
"d:\Unity\LoFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-52-37\diff.csv", "CSV", 0, 0, 2, 0, 0, 0, 2
"d:\Unity\LoFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-52-37\diff.md", "Markdown", 0, 12, 0, 0, 0, 7, 19
"d:\Unity\LoFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-52-37\results.csv", "CSV", 0, 0, 78, 0, 0, 0, 78
"d:\Unity\LoFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-52-37\results.json", "JSON", 0, 0, 0, 1, 0, 0, 1
"d:\Unity\LoFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-52-37\results.md", "Markdown", 0, 14, 0, 0, 0, 7, 21
"d:\Unity\LoFBR\Assets\Scripts\Ability.cs", "C#", 46, 0, 0, 0, 0, 2, 48
"d:\Unity\LoFBR\Assets\Scripts\AltAttack.cs", "C#", 29, 0, 0, 0, 0, 3, 32
"d:\Unity\LoFBR\Assets\Scripts\ArmorAura.cs", "C#", 56, 0, 0, 0, 0, 3, 59
"d:\Unity\LoFBR\Assets\Scripts\CameraController.cs", "C#", 23, 0, 0, 0, 0, 2, 25
"d:\Unity\LoFBR\Assets\Scripts\CameraRotationMenu.cs", "C#", 17, 0, 0, 0, 0, 2, 19
"d:\Unity\LoFBR\Assets\Scripts\ClosestFinder.cs", "C#", 127, 0, 0, 0, 0, 2, 129
"d:\Unity\LoFBR\Assets\Scripts\CombatUtils.cs", "C#", 60, 0, 0, 0, 0, 2, 62
"d:\Unity\LoFBR\Assets\Scripts\Damage.cs", "C#", 45, 0, 0, 0, 0, 2, 47
"d:\Unity\LoFBR\Assets\Scripts\DamageCollisionHandler.cs", "C#", 97, 0, 0, 0, 1, 3, 101
"d:\Unity\LoFBR\Assets\Scripts\DamageableEntity.cs", "C#", 24, 0, 0, 0, 1, 1, 26
"d:\Unity\LoFBR\Assets\Scripts\Dash.cs", "C#", 31, 0, 0, 0, 1, 2, 34
"d:\Unity\LoFBR\Assets\Scripts\DestroyAfterTime.cs", "C#", 26, 0, 0, 0, 0, 3, 29
"d:\Unity\LoFBR\Assets\Scripts\DestroyAfterTimeHeal.cs", "C#", 30, 0, 0, 0, 0, 3, 33
"d:\Unity\LoFBR\Assets\Scripts\DestroyAfterTimePoison.cs", "C#", 30, 0, 0, 0, 0, 3, 33
"d:\Unity\LoFBR\Assets\Scripts\DestroyAfterTimeTower.cs", "C#", 11, 0, 0, 0, 0, 2, 13
"d:\Unity\LoFBR\Assets\Scripts\DestroyShield.cs", "C#", 13, 0, 0, 0, 2, 4, 19
"d:\Unity\LoFBR\Assets\Scripts\DetectBullets.cs", "C#", 39, 0, 0, 0, 1, 3, 43
"d:\Unity\LoFBR\Assets\Scripts\DisplayMana.cs", "C#", 27, 0, 0, 0, 1, 2, 30
"d:\Unity\LoFBR\Assets\Scripts\EnemyBase.cs", "C#", 34, 0, 0, 0, 0, 0, 34
"d:\Unity\LoFBR\Assets\Scripts\EnemyBehaviour.cs", "C#", 178, 0, 0, 0, 0, 0, 178
"d:\Unity\LoFBR\Assets\Scripts\EnemyPlayerBehaviour.cs", "C#", 466, 0, 0, 0, 0, 1, 467
"d:\Unity\LoFBR\Assets\Scripts\EnemySpawner.cs", "C#", 49, 0, 0, 0, 2, 7, 58
"d:\Unity\LoFBR\Assets\Scripts\ExpDisplay.cs", "C#", 28, 0, 0, 0, 2, 2, 32
"d:\Unity\LoFBR\Assets\Scripts\Extensions.cs", "C#", 31, 0, 0, 0, 0, 2, 33
"d:\Unity\LoFBR\Assets\Scripts\FireBehaviour.cs", "C#", 21, 0, 0, 0, 0, 2, 23
"d:\Unity\LoFBR\Assets\Scripts\FriendlyBase.cs", "C#", 36, 0, 0, 0, 1, 2, 39
"d:\Unity\LoFBR\Assets\Scripts\FriendlyBehaviour.cs", "C#", 180, 0, 0, 0, 0, 3, 183
"d:\Unity\LoFBR\Assets\Scripts\FriendlySpawner.cs", "C#", 49, 0, 0, 0, 2, 7, 58
"d:\Unity\LoFBR\Assets\Scripts\HealingBullet.cs", "C#", 75, 0, 0, 0, 0, 2, 77
"d:\Unity\LoFBR\Assets\Scripts\Health.cs", "C#", 141, 0, 0, 0, 0, 2, 143
"d:\Unity\LoFBR\Assets\Scripts\IMainPlayer.cs", "C#", 8, 0, 0, 0, 0, 2, 10
"d:\Unity\LoFBR\Assets\Scripts\IMortal.cs", "C#", 8, 0, 0, 0, 0, 1, 9
"d:\Unity\LoFBR\Assets\Scripts\IReloadable.cs", "C#", 7, 0, 0, 0, 0, 2, 9
"d:\Unity\LoFBR\Assets\Scripts\ISpawner.cs", "C#", 10, 0, 0, 0, 0, 2, 12
"d:\Unity\LoFBR\Assets\Scripts\Immolate.cs", "C#", 75, 0, 0, 0, 0, 2, 77
"d:\Unity\LoFBR\Assets\Scripts\Level.cs", "C#", 45, 0, 0, 0, 0, 2, 47
"d:\Unity\LoFBR\Assets\Scripts\LevelText.cs", "C#", 17, 0, 0, 0, 2, 2, 21
"d:\Unity\LoFBR\Assets\Scripts\LookAtCamera.cs", "C#", 16, 0, 0, 0, 1, 3, 20
"d:\Unity\LoFBR\Assets\Scripts\Mana.cs", "C#", 62, 0, 0, 0, 0, 2, 64
"d:\Unity\LoFBR\Assets\Scripts\ManaDrain.cs", "C#", 63, 0, 0, 0, 1, 2, 66
"d:\Unity\LoFBR\Assets\Scripts\MasterScript.cs", "C#", 327, 0, 0, 0, 0, 1, 328
"d:\Unity\LoFBR\Assets\Scripts\Melee.cs", "C#", 74, 0, 0, 0, 0, 2, 76
"d:\Unity\LoFBR\Assets\Scripts\MeleeCollider.cs", "C#", 19, 0, 0, 0, 1, 3, 23
"d:\Unity\LoFBR\Assets\Scripts\MoveAllEnemy.cs", "C#", 21, 0, 0, 0, 0, 2, 23
"d:\Unity\LoFBR\Assets\Scripts\MoveAllFriendly.cs", "C#", 21, 0, 0, 0, 0, 2, 23
"d:\Unity\LoFBR\Assets\Scripts\Parry.cs", "C#", 37, 0, 0, 0, 0, 2, 39
"d:\Unity\LoFBR\Assets\Scripts\ParryColliderBehaviour.cs", "C#", 32, 0, 0, 0, 0, 2, 34
"d:\Unity\LoFBR\Assets\Scripts\PauseGame.cs", "C#", 48, 0, 0, 0, 0, 2, 50
"d:\Unity\LoFBR\Assets\Scripts\PlayerController.cs", "C#", 181, 0, 0, 0, 0, 3, 184
"d:\Unity\LoFBR\Assets\Scripts\PoisonBullet.cs", "C#", 73, 0, 0, 0, 0, 1, 74
"d:\Unity\LoFBR\Assets\Scripts\RegenAura.cs", "C#", 55, 0, 0, 0, 1, 3, 59
"d:\Unity\LoFBR\Assets\Scripts\Reload.cs", "C#", 75, 0, 0, 0, 0, 1, 76
"d:\Unity\LoFBR\Assets\Scripts\SetSkillSet.cs", "C#", 18, 0, 0, 0, 0, 2, 20
"d:\Unity\LoFBR\Assets\Scripts\SetVolume.cs", "C#", 24, 0, 0, 0, 0, 1, 25
"d:\Unity\LoFBR\Assets\Scripts\Shield.cs", "C#", 16, 0, 0, 0, 7, 2, 25
"d:\Unity\LoFBR\Assets\Scripts\Shock.cs", "C#", 27, 0, 0, 0, 2, 2, 31
