"filename", "language", "XML", "JSON", "C#", "Log", "Markdown", "CSV", "comment", "blank", "total"
"d:\Unity\LOFBR\.vs\LoFBR.slnx\v18\DocumentLayout.backup.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 12
"d:\Unity\LOFBR\.vs\LoFBR.slnx\v18\DocumentLayout.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 12
"d:\Unity\LOFBR\.vs\VSWorkspaceState.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 6
"d:\Unity\LOFBR\Analytics.csproj", "XML", 1187, 0, 0, 0, 0, 0, 1, 1, 1189
"d:\Unity\LOFBR\Assembly-CSharp.csproj", "XML", 1238, 0, 0, 0, 0, 0, 1, 1, 1240
"d:\Unity\LOFBR\Assets\MobileDependencyResolver\Editor\CHANGELOG.md", "Markdown", 0, 0, 0, 0, 1215, 0, 0, 211, 1426
"d:\Unity\LOFBR\Assets\MobileDependencyResolver\Editor\README.md", "Markdown", 0, 0, 0, 0, 680, 0, 0, 224, 904
"d:\Unity\LOFBR\Assets\PlayerInputActions.cs", "C#", 0, 0, 1340, 0, 0, 0, 384, 27, 1751
"d:\Unity\LOFBR\Assets\Resources\BillingMode.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\Unity\LOFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-51-57\details.md", "Markdown", 0, 0, 0, 0, 85, 0, 0, 6, 91
"d:\Unity\LOFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-51-57\diff-details.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 6, 15
"d:\Unity\LOFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-51-57\diff.csv", "CSV", 0, 0, 0, 0, 0, 2, 0, 0, 2
"d:\Unity\LOFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-51-57\diff.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 7, 19
"d:\Unity\LOFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-51-57\results.csv", "CSV", 0, 0, 0, 0, 0, 78, 0, 0, 78
"d:\Unity\LOFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-51-57\results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 1
